Name,Price (Intraday),Change,Market Cap,Volume in Currency,Circulating Supply
EasyFi USD,0.048188,-0.000467,"307,130","9,162","307,130"
Azbit USD,0.0000044,-0.00000019,"306,902",4,"306,902"
Etho Protocol USD,0.003925,-0.000704,"306,629","45,291","306,629"
Zennies USD,0.000306,-0.000002,"306,083",13,"306,083"
Waves Enterprise USD,0.007293,-0.000355,"306,048","105,131","306,048"
StakeCubeCoin USD,0.02382,-0.002349,"304,460",668,"304,460"
Swop USD,0.095085,-0.005591,"304,234","11,270","304,234"
Kaby Arena USD,0.000393,0.000008,"303,524","6,933","303,524"
OST USD,0.000378,-0.000007,"301,694","10,891","301,694"
EUNO USD,0.000043,0,"300,874",0,"300,874"
Innovation Blockchain Payment USD,0.0016,0,"300,815","23,287","300,815"
AudioCoin USD,0.000306,-0.000002,"299,942",107,"299,942"
BeamSwap USD,0.001104,0.000211,"299,296","6,520","299,296"
HollyGold USD,0.063602,-0.000296,"298,153",183,"298,153"
hiPUNKS USD,0.10004,-0.005178,"297,620","139,030","297,620"
ZION USD,0.031258,-0.000005,"297,462","2,533","297,462"
Stake DAO USD,0.418706,-0.006745,"296,696","46,025","296,696"
TripCandy USD,0.001417,0,"296,696",1,"296,696"
Ravencoin Classic USD,0.000023,0,"296,673","7,391","296,673"
DAOstack USD,0.006021,-0.000025,"295,214",200,"295,214"
Gamerse USD,0.001722,-0.000099,"293,024","114,688","293,024"
Mettalex USD,0.26028,0.004336,"292,295","6,137","292,295"
CyberMusic USD,0.000019,0,"291,946",6,"291,946"
Egretia USD,0.00005,-0.000002,"291,436",54,"291,436"
hiCOOLCATS USD,0.001855,-0.000241,"290,124","96,963","290,124"
Seele-N USD,0.000412,0,"288,232",237,"288,232"
Amazy USD,0.007003,0.000081,"286,579","545,300","286,579"
SmartCash USD,0.0002,0.000047,"282,685",8,"282,685"
Terracoin USD,0.012326,0.00035,"282,711",33,"282,711"
yieldwatch USD,0.014396,-0.000096,"281,089",88,"281,089"
AidCoin USD,0.00656,0.000018,"279,095",137,"279,095"
hiCLONEX USD,0.0055,-0.000311,"278,933","102,423","278,933"
hiSAND33 USD,0.01328,-0.000072,"278,455","110,636","278,455"
OracleChain USD,0.009233,-0.000034,"276,990",N/A,"276,990"
Jarvis Network USD,0.009533,-0.000111,"276,509","5,334","276,509"
Portuma USD,0.000138,0.000001,"276,086","186,965","276,086"
Avatly USD,0.00122,-0.000022,"272,010","50,511","272,010"
Propel USD,0.007193,-0.000024,"271,069","75,318","271,069"
Aigang USD,0.009229,0.000026,"270,172",42,"270,172"
Shirtum USD,0.001554,0.000035,"270,071","8,520","270,071"
hiFRIENDS USD,0.002085,-0.00011,"268,965","102,470","268,965"
XMax USD,0.00000933,0.00000002,"268,552","35,361","268,552"
Swarm City USD,0.031215,-0.000175,"266,455",15,"266,455"
Hydro USD,0.002384,0.000013,"264,866","2,519","264,866"
Quark USD,0.000917,-0.000006,"264,598",0,"264,598"
Deutsche eMark USD,0.004893,-0.000032,"262,546",24,"262,546"
Coinsbit Token USD,0.000197,-0.000001,"262,466",2,"262,466"
MIBR Fan Token USD,0.258501,-0.003145,"258,631",306,"258,631"
Universidad de Chile Fan Token USD,0.269103,-0.004603,"257,033","10,386","257,033"
X-CASH USD,0.00000407,-0.00000006,"255,978",25,"255,978"
Unicly Hashmasks Collection USD,0.002547,0,"254,692","12,450","254,692"
hiMEEBITS USD,0.003364,-0.000029,"253,481","101,987","253,481"
Sakura USD,0.00477,-0.00008,"252,806","9,283","252,806"
Float Protocol (Bank) USD,0.881326,-0.007084,"252,679","8,593","252,679"
Kalao USD,0.002026,-0.000096,"251,761","53,400","251,761"
WePower USD,0.000365,0.000001,"251,654",3,"251,654"
TigerCash USD,0.004481,-0.000003,"250,936","79,465","250,936"
QUINADS USD,0.000019,0,"250,414",0,"250,414"
Electrify.Asia USD,0.000472,-0.00001,"250,110","10,820","250,110"
CryptEx USD,2.934,-0.0393,"249,393",199,"249,393"
Flixxo USD,0.002957,0.000008,"249,363",34,"249,363"
Curecoin USD,0.008868,-0.00006,"248,637",0,"248,637"
Launchblock.com USD,0.000211,-0.000001,"247,875","102,315","247,875"
The HUSL USD,0.023594,-0.000051,"244,904","1,623","244,904"
Everex USD,0.009787,-0.002835,"244,668","4,820","244,668"
DecentraWeb USD,0.072771,0.000389,"244,307","1,231","244,307"
Massnet USD,0.002487,0.000013,"243,765","53,917","243,765"
Odyssey USD,0.00003,0,"243,148","19,090","243,148"
Xensor USD,0.000052,0,"240,357","11,187","240,357"
Apollon Limassol USD,0.598522,0.001204,"240,222","22,645","240,222"
ASPO World USD,0.002995,-0.00001,"239,442",131,"239,442"
ACoconut USD,0.0896,0.001715,"238,484",191,"238,484"
Stealth USD,0.006,-0.000001,"237,760",22,"237,760"
MoneySwap USD,0.000175,-0.000004,"235,704","59,168","235,704"
AirNFTs USD,0.002104,-0.000008,"235,678",186,"235,678"
CoinFi USD,0.001099,-0.000064,"235,606","10,746","235,606"
Baanx USD,0.011893,0.000081,"235,457","6,871","235,457"
Sint-Truidense Voetbalvereniging Fan Token USD,0.900876,-0.000559,"233,143","33,061","233,143"
BitBall USD,0.000384,-0.000018,"233,024","81,514","233,024"
DigitalNote USD,0.000029,-0.000008,"232,988",207,"232,988"
Cheems USD,0.000091,0,"232,342","1,509","232,342"
DeHive USD,0.057561,-0.000198,"231,360","10,743","231,360"
GoWithMi USD,0.000085,0.000002,"230,628","8,600","230,628"
Hero Blaze: Three Kingdoms USD,0.019849,0.001248,"230,625","54,771","230,625"
disBalancer USD,0.0339,0.000494,"229,100","6,025","229,100"
SaTT USD,0.00007,0.000006,"227,143",17,"227,143"
BASIC USD,0.000029,0.000001,"226,962","61,009","226,962"
Fivebalance USD,0.000207,-0.000001,"226,348",197,"226,348"
FRAKT Token USD,0.047827,-0.000503,"226,093",873,"226,093"
Zenswap Network Token USD,0.000019,0,"226,048",0,"226,048"
ArbitrageCT USD,0.002141,-0.000014,"224,051",25,"224,051"
Crown USD,0.007034,-0.000046,"223,702",3,"223,702"
Linked Finance World USD,0.006976,0.0002,"223,334","52,911","223,334"
Darwinia Commitment Token USD,4.3467,-0.1532,"223,048","11,012","223,048"
Curate USD,0.026454,0.000599,"222,962","322,666","222,962"
Decentralized Asset Trading Platform USD,0.000019,0,"222,644",0,"222,644"
Skrumble Network USD,0.000218,-0.00001,"222,569","8,188","222,569"
Pacoca USD,0.000672,-0.000004,"222,509",464,"222,509"
Digital Reserve Currency USD,0.000222,-0.000001,"222,125",488,"222,125"
Xeno Token USD,0.000187,-0.000008,"221,326","201,612","221,326"
Tidal Finance USD,0.000254,0.00004,"220,135","323,647","220,135"
Hunter Token / Digital Arms USD,0.002011,-0.000279,"219,711","2,697","219,711"
Ruff USD,0.000223,0,"218,922","44,627","218,922"
Team Vitality Fan Token USD,0.269876,0.004748,"218,654",49,"218,654"
Club Atletico Independiente USD,0.260597,-0.006091,"218,423","10,213","218,423"
Legia Warsaw Fan Token USD,0.320996,-0.005864,"217,268","10,846","217,268"
Cryptonite USD,0.000306,-0.000002,"216,686",7,"216,686"
Lokr USD,0.008449,-0.000276,"216,531","310,760","216,531"
Swirge USD,0.018033,-0.001434,"216,047","45,948","216,047"
BUZZCoin USD,0.000011,0,"214,635",1,"214,635"
DopeCoin USD,0.001835,-0.000012,"214,412",N/A,"214,412"
Battle Hero USD,0.004294,-0.000003,"213,712",12,"213,712"
CyberVein USD,0.000201,0.000004,"213,157","39,104","213,157"
Kaizen Finance USD,0.001842,0.000018,"212,513","105,843","212,513"
hiSEALS USD,0.007077,-0.000519,"212,310","100,913","212,310"
Stox USD,0.004105,0.00015,"211,773","15,608","211,773"
dAppstore USD,0.001306,-0.000118,"211,624","71,565","211,624"
Etherparty USD,0.000211,-0.000008,"210,889","10,765","210,889"
Millonarios FC Fan Token USD,0.31086,-0.000275,"209,989","11,983","209,989"
PLATINCOIN USD,0.041782,0.01428,"208,957","4,326","208,957"
PotCoin USD,0.001805,0.00009,"208,210",88,"208,210"
Netko USD,0.012539,-0.000083,"208,032",3,"208,032"
HashBX USD,0.000328,0.000013,"206,706",104,"206,706"
DDKoin USD,0.120814,-0.000439,"206,591",173,"206,591"
APY.Finance USD,0.003097,-0.000036,"205,856",49,"205,856"
Inex Project USD,0.000019,0,"205,115",0,"205,115"
PolkaWar USD,0.002471,0.000013,"204,637","71,831","204,637"
Jarvis+ USD,0.001885,-0.000041,"203,880","1,790","203,880"
SpaceFalcon USD,0.000076,0.000002,"202,545","22,153","202,545"
Goons of Balatroon USD,0.00105,-0.000141,"202,002","38,854","202,002"
Polker USD,0.001034,0.000015,"200,233","161,773","200,233"
Golos Blockchain USD,0.000567,-0.000026,"200,003",12,"200,003"
RealTract USD,0.000019,0,"199,653",0,"199,653"
ZENZO USD,0.006728,-0.000044,"199,610",7,"199,610"
AIPAD USD,0.052465,0.001651,"199,368","286,170","199,368"
RED USD,0.001529,0.00002,"198,732","10,375","198,732"
Ink USD,0.000427,-0.000005,"198,289","12,188","198,289"
Motocoin USD,0.010093,-0.000067,"198,244",13,"198,244"
Bottos USD,0.000363,-0.000008,"198,168","24,210","198,168"
Titan Coin USD,0.000217,-0.000001,"197,880",0,"197,880"
Team Heretics Fan Token USD,0.456237,-0.017094,"197,157","17,815","197,157"
Etherland USD,0.00634,0.000448,"196,683","55,313","196,683"
Birdchain USD,0.000703,0.000006,"196,615","21,953","196,615"
COGI USD,0.003192,-0.000002,"196,609",315,"196,609"
Coreto USD,0.00086,0.000244,"196,324","2,379","196,324"
Evedo USD,0.012539,-0.000083,"195,501","51,691","195,501"
Parachute USD,0.000195,0.000002,"194,928",4,"194,928"
RING X PLATFORM USD,0.000612,-0.000004,"191,544",1.336M,"191,544"
DinoX USD,0.005627,-0.000038,"191,383","53,398","191,383"
Oikos USD,0.000784,-0.000006,"190,411",2,"190,411"
Dragon Kart USD,0.00456,-0.000001,"189,696",46,"189,696"
Tachyon Protocol USD,0.00071,0,"189,473","2,990","189,473"
BHO Network USD,0.000417,-0.000012,"189,098",939,"189,098"
Centaur USD,0.000043,0.000001,"188,180",100,"188,180"
hiBAKC USD,0.031265,-0.004179,"187,590","135,141","187,590"
Cosmo Coin USD,0.000279,0,"187,148",0,"187,148"
AstroSwap USD,0.000436,-0.000004,"186,755","7,402","186,755"
VIG USD,0.000185,0,"185,371",19,"185,371"
Autobahn Network USD,0.002751,0.000178,"184,495",975,"184,495"
WinCash USD,0.122334,-0.000808,"183,474",6,"183,474"
HitChain USD,0.00000298,0,"183,271","10,147","183,271"
Bean Cash USD,0.000034,-0.000001,"182,596",40,"182,596"
PWR Coin USD,0.000019,0,"182,033",0,"182,033"
Trollcoin USD,0.000306,-0.000002,"181,302",9,"181,302"
Cryptonovae USD,0.002353,0.000041,"181,062",2,"181,062"
DomRaider USD,0.000306,-0.000002,"180,901",3,"180,901"
Governor DAO USD,0.061796,-0.000402,"179,794","10,206","179,794"
Helmet.insure USD,0.004166,-0.000016,"179,361",13,"179,361"
XcelToken Plus USD,0.00000398,0.00000087,"179,099",200,"179,099"
Creo Engine USD,0.001784,0.000086,"178,975","170,622","178,975"
Herbalist Token USD,0.000019,0,"178,934",3,"178,934"
Neural Protocol USD,0.000019,0,"178,896",34,"178,896"
renDOGE USD,0.057923,0,"178,620",3,"178,620"
UGAS USD,0.001031,0.000107,"177,117","82,730","177,117"
CoTrader USD,0.00000883,0.00000002,"176,597",147,"176,597"
BlueCoin USD,0.000306,-0.000002,"175,758",3,"175,758"
Vidulum USD,0.010292,0.000001,"175,698",0,"175,698"
Open Platform USD,0.000165,-0.000011,"175,296","11,011","175,296"
DOSE USD,0.003369,-0.000151,"174,846","958,076","174,846"
Gemie USD,0.001484,-0.000017,"174,534","33,860","174,534"
Lead Wallet USD,0.000344,0,"174,030",13,"174,030"
2crazyNFT USD,0.001132,0.000101,"173,787","160,237","173,787"
Centric Swap USD,0.00000239,0.00000009,"173,518","200,234","173,518"
Bitether USD,0.003058,-0.00002,"173,516",N/A,"173,516"
x42 Protocol USD,0.008502,-0.000179,"171,463",531,"171,463"
Step? USD,0.000172,0,"168,380",268,"168,380"
Nexalt USD,0.003652,-0.000038,"168,249","19,059","168,249"
Blockpass USD,0.001,0,"167,223",6,"167,223"
eosDAC USD,0.000252,-0.000003,"166,642","10,451","166,642"
WeTrust USD,0.001666,0.000005,"166,559",2,"166,559"
Metaverse VR USD,0.004874,-0.000251,"164,657","21,716","164,657"
Ritocoin USD,0.000092,-0.000001,"164,269",7,"164,269"
Creaticles USD,0.002104,0.000137,"164,223","9,146","164,223"
BiblePay USD,0.000064,0.000003,"163,966",70,"163,966"
Base Protocol USD,0.340809,-0.000301,"163,820","9,967","163,820"
Nerve Finance USD,0.0035,0.000184,"161,846","23,480","161,846"
Ares Protocol USD,0.0007,0.000059,"161,791","32,439","161,791"
GoldMint USD,0.084433,0.004699,"161,689",5,"161,689"
Bitstar USD,0.007646,-0.000051,"161,672",10,"161,672"
2GIVE USD,0.000306,-0.000002,"161,616",N/A,"161,616"
Typerium USD,0.000099,0.000015,"160,778",1,"160,778"
SifChain USD,0.000064,0.000001,"160,596","3,294","160,596"
MakiSwap USD,0.002325,0.000213,"160,349","71,832","160,349"
Beyond Protocol USD,0.00097,0.00052,"160,108","149,284","160,108"
ChronoBase USD,0.39973,-0.000998,"160,100",0,"160,100"
OIN Finance USD,0.004849,0.000021,"159,778","6,885","159,778"
Enigma USD,0.011471,-0.000042,"159,340","88,780","159,340"
Atlas Protocol USD,0.000062,-0.000001,"159,291","10,069","159,291"
e-Money USD,0.007978,-0.000047,"157,643","38,818","157,643"
Kangal USD,0.00000157,-0.00000002,"157,466",21,"157,466"
Novara Calcio Fan Token USD,0.444638,-0.007639,"156,844","16,777","156,844"
Bitcoin Green USD,0.013133,-0.000037,"156,818",33,"156,818"
Orion Money USD,0.00165,-0.000138,"156,761","9,189","156,761"
Decentralized Vulnerability Platform USD,0.000298,0.000018,"155,549","74,730","155,549"
Havy USD,0.000019,0,"154,448",0,"154,448"
PlayGame USD,0.000153,-0.000001,"152,981",5,"152,981"
SnowSwap USD,0.307983,-0.000282,"152,632","10,542","152,632"
Banca USD,0.0000085,0,"152,329","9,078","152,329"
Golff USD,0.015188,0.000288,"151,870","7,636","151,870"
Wabi USD,<span class="e3b14781 e59c8479">0.0015</span>,0.0012,<span class="e3b14781 e59c8479">151.665k</span>,44,151.665k
Planet Inverse USD,0.004533,-0.000012,"151,575",6,"151,575"
CryptoSoul USD,0.000473,-0.000002,"151,362",58,"151,362"
Maxcoin USD,0.002447,-0.001248,"150,338",20,"150,338"
Silva Token USD,0,0,"150,068",10,"150,068"
Color Platform USD,0.00109,0,"149,581",1,"149,581"
FintruX Network USD,<span class="e3b14781 f5a023e1">0.0016</span>,0,<span class="e3b14781 e59c8479">148.397k</span>,113,148.397k
OnGO USD,0.001291,-0.000033,"148,389","121,723","148,389"
Synergy USD,0.030278,-0.0002,"148,290",2,"148,290"
Autonio USD,0.001569,-0.000011,"148,177","9,189","148,177"
MODEL-X-coin USD,0.012233,-0.000081,"147,422",4,"147,422"
Hyprr USD,0.000264,-0.000001,"146,275","4,657","146,275"
Cryptopolis USD,0.00164,-0.000054,"145,791","14,865","145,791"
Chirpley USD,0.00505,-0.00002,"145,561","314,744","145,561"
Peruvian National Football Team Fan Token USD,0.006403,0.000203,"145,226","26,160","145,226"
Ubex USD,0.000044,0,"144,858",26,"144,858"
Moola USD,0.000483,-0.000003,"143,939","10,087","143,939"
Neurotoken USD,0.001822,-0.000009,"143,736",1,"143,736"
Rune Shards USD,0.000791,0.000001,"143,392",4,"143,392"
MediShares USD,0.000108,0.000001,"141,832","9,973","141,832"
APYSwap USD,0.007796,0.000125,"141,809","9,132","141,809"
EOS TRUST USD,0.000019,0,"141,618",9,"141,618"
Aitra USD,0.021408,-0.000141,"141,267",0,"141,267"
UCA Coin USD,0.000061,-0.000253,"141,196",4,"141,196"
Substratum USD,<span class="e3b14781 f5a023e1">0.0003</span>,0,<span class="e3b14781 e59c8479">140.363k</span>,0,140.363k
Netrum USD,0.065622,0.025922,"140,418",0,"140,418"
FreedomCoin USD,0.021245,-0.000182,"140,312",721,"140,312"
Ninneko USD,0.002138,0.000043,"138,771","1,190","138,771"
Lightning USD,0.002151,-0.00001,"138,213",0,"138,213"
BLink USD,0.000747,-0.00001,"137,665",1,"137,665"
Breezecoin USD,0.000765,-0.000005,"137,625",20,"137,625"
Impossible Finance USD,0.02281,0.001197,"136,872",435,"136,872"
Finxflo USD,0.001505,0.000017,"136,190","9,393","136,190"
Kobocoin USD,0.005505,-0.000036,"135,975",3,"135,975"
Dev Protocol USD,0.121131,-0.031196,"135,424","2,077","135,424"
NFTify USD,0.006613,0,"134,663",436,"134,663"
AquariusCoin USD,0.031081,-0.000107,"134,296",1,"134,296"
SPORT USD,0.004563,-0.000143,"133,783","113,591","133,783"
Wonderman Nation USD,0.00941,-0.000022,"133,768","6,816","133,768"
Cryptrust USD,0.000019,0,"133,593",60,"133,593"
WagyuSwap USD,0.002464,0.000087,"133,485","10,538","133,485"
Masari USD,0.007646,-0.000051,"132,040",3,"132,040"
EarthFund USD,0.001814,-0.000009,"131,962","215,518","131,962"
Delphy USD,0.002115,-0.000141,"131,562","10,446","131,562"
Hashgard USD,0.000013,0,"131,283","6,405","131,283"
Cyclub USD,0.0001,-0.00001,"131,009",66,"131,009"
Revomon USD,0.005263,0.000244,"130,567","15,444","130,567"
Swing USD,0.020491,-0.000135,"130,505",3,"130,505"
Cappasity USD,0.000195,0.00002,"129,655","176,027","129,655"
DinoSwap USD,0.000831,0,"129,217",1,"129,217"
Sportcash One USD,0.010127,-0.000043,"128,675",235,"128,675"
Tokenplace USD,0.000988,-0.000042,"127,377",813,"127,377"
Innova USD,0.0184,-0.000003,"126,993",23,"126,993"
Plant Vs Undead USD,0.003743,-0.000059,"126,942","29,843","126,942"
Royale Finance USD,0.002,-0.003954,"126,793",9,"126,793"
SeedOn USD,0.000502,-0.000009,"126,320",227,"126,320"
SakeToken USD,0.001239,-0.000032,"126,166","16,055","126,166"
Cobinhood USD,0.000306,-0.000002,"125,698",45,"125,698"
Standard USD,0.009358,-0.000225,"125,656","245,317","125,656"
Qrkita Token USD,0.00000126,0.00000007,"125,624",18,"125,624"
Cryptojacks USD,0.000306,-0.000002,"124,342",5,"124,342"
Playcent USD,0.003387,-0.000006,"124,105","8,539","124,105"
Safex Cash USD,0.0005,0.0001,"123,797",238,"123,797"
Freicoin USD,0.002141,-0.000014,"123,103",6,"123,103"
ETHA Lend USD,0.013122,-0.000214,"122,815","53,357","122,815"
Eternity USD,0.012845,-0.000085,"122,367",3,"122,367"
EVRYNET USD,0.003014,0.000022,"121,750","107,868","121,750"
NativeCoin USD,0.004893,-0.000032,"121,400",16,"121,400"
PoSW Coin USD,0.002753,-0.000018,"121,385",3,"121,385"
ZumCoin USD,0.000122,-0.000001,"120,966",3,"120,966"
Metaverse Dualchain Network Architecture USD,<span class="e3b14781 e59c8479">0.0000</span>,0,<span class="e3b14781 f5a023e1">120.865k</span>,"34,923",120.865k
Sator USD,0.002186,-0.000077,"120,056","57,882","120,056"
TagCoin USD,0.018656,-0.000123,"120,029",5,"120,029"
adbank USD,0.000119,-0.000001,"119,000","15,801","119,000"
Agrello USD,0.000918,-0.000006,"118,423","15,187","118,423"
MicroPets USD,0.00000002,0,"118,335",27,"118,335"
LiquidApps USD,0.000166,-0.000008,"117,688",486,"117,688"
Dexlab USD,0.002238,-0.00001,"117,572",10,"117,572"
InvestFeed USD,0.000612,-0.000004,"117,062",3,"117,062"
Seigniorage Shares USD,0.005656,-0.000181,"116,984","10,568","116,984"
Internxt USD,0.103678,-0.059177,"116,046","250,785","116,046"
Mochi Market USD,0.002955,-0.000034,"115,899","10,047","115,899"
Wolf Safe Poor People USD,0,0,"115,029",85,"115,029"
Refinable USD,0.002793,0.000071,"114,675","137,204","114,675"
CryptoTanks USD,0.002356,0.000012,"114,533","15,375","114,533"
ShopNEXT USD,0.009261,-0.000021,"114,454","7,275","114,454"
My Master War USD,0.001957,-0.000059,"114,376","10,769","114,376"
Soda Coin USD,0.00006,0,"113,400",0,"113,400"
Ethereum Gold Project USD,0.000019,0,"111,693",4,"111,693"
Switch USD,0.009175,-0.000061,"111,144",2,"111,144"
Myriad USD,0.00006,-0.000003,"110,945",2,"110,945"
Qbao USD,0.001678,0.000006,"109,667","10,509","109,667"
Basis Cash USD,0.001997,0.000001,"108,987","10,262","108,987"
Donut USD,0.000904,0.000001,"108,848","3,939","108,848"
Polinate USD,0.000705,0.000489,"108,792","6,958","108,792"
Pinkcoin USD,0.000245,-0.000002,"108,033",1,"108,033"
Nyzo USD,0.009052,-0.000617,"107,893","8,467","107,893"
DOS Network USD,0.000782,-0.000002,"106,277","6,744","106,277"
The Corgi of PolkaBridge USD,0,0,"105,540",710,"105,540"
Xiotri USD,23.89,0,"105,540",15,"105,540"
Levante U.D. Fan Token USD,0.368083,-0.015573,"105,274","14,221","105,274"
Forest Knight USD,0.008424,-0.000033,"104,337","10,117","104,337"
MetaverseX USD,0.037899,-0.001273,"104,221","10,288","104,221"
Bitteam token USD,0.000226,0.000006,"104,134","3,554","104,134"
Zeepin USD,0.000208,-0.000015,"103,849","14,439","103,849"
KanadeCoin USD,0.000019,0,"103,048",N/A,"103,048"
IHT Real Estate Protocol USD,0.000104,-0.000021,"102,711","9,853","102,711"
Tourist Token USD,0.000019,0,"102,337",10,"102,337"
Dynamix USD,0,0,"102,118",7,"102,118"
GTONCapital USD,0.02759,-0.003677,"100,153",7,"100,153"
Dracula Token USD,0.006845,0,"99,422",20,"99,422"
Unitrade USD,0.00505,0.000029,"99,353",6,"99,353"
Argon USD,0.000995,-0.000047,"99,083","114,361","99,083"
PRivaCY Coin USD,0.006832,-0.000359,"98,847","28,712","98,847"
KeyFi USD,0.036657,-0.000459,"98,550",7,"98,550"
Merculet USD,0.000022,0,"98,325","3,907","98,325"
Zero USD,0.007646,-0.002513,"98,200",4,"98,200"
Fortuna Sittard Fan Token USD,0.497995,-0.027582,"97,112","19,660","97,112"
Bitball Treasure USD,0.214904,0.011636,"96,706","111,116","96,706"
Playkey USD,0.005519,0.000318,"96,112","60,020","96,112"
beFITTER USD,0.002016,0.000003,"95,761","94,631","95,761"
Genesis Shards USD,0.007932,0.000536,"95,434","7,456","95,434"
Galaxy Fight Club USD,0.006606,0.000135,"95,030","7,267","95,030"
ChatCoin USD,0.000137,-0.000001,"94,743",4,"94,743"
U Network USD,0.00000921,-0.0000013,"92,050","1,576","92,050"
DeFiner USD,0.00056,0.000035,"91,803","36,916","91,803"
NextDAO USD,0.000036,-0.000001,"91,740","8,112","91,740"
WOWswap USD,0.091501,-0.000106,"91,500",33,"91,500"
Galaxy Blitz USD,0.0254,0.000196,"91,119",6,"91,119"
FansTime USD,0.000032,0.000001,"90,881","108,333","90,881"
PKG Token USD,0.00000999,-0.00000003,"89,640",1,"89,640"
Mind Music USD,0,0,"88,678","1,237","88,678"
Starbase USD,0.000469,0,"88,005",128,"88,005"
Auxilium USD,0.000612,-0.000004,"86,796","24,232","86,796"
CryptoPirates USD,0.00000258,-0.00000004,"86,616",88,"86,616"
Silver Stonks USD,0.00000011,0.00000001,"85,268",0,"85,268"
Bounty0x USD,0.000366,-0.000005,"85,186","10,499","85,186"
S4FE USD,0.000094,-0.000321,"84,316",2,"84,316"
Aluna.Social USD,0.002235,-0.000089,"84,290","7,442","84,290"
Gems USD,0.00007,0,"83,863","10,049","83,863"
ZUM TOKEN USD,0.00000427,-0.00000021,"83,469",213,"83,469"
Beer Money USD,0.002095,0.000285,"82,761",6,"82,761"
MenaPay USD,0.000612,0.000027,"82,048",0,"82,048"
Swap USD,0.004893,-0.000032,"81,450",32,"81,450"
PlatinumBAR USD,0.037618,0.006524,"81,258",3,"81,258"
IGToken USD,0.000019,0,"80,784",55,"80,784"
Dogeswap USD,4.0358,-0.027,"80,716",19,"80,716"
Atmos USD,0.001285,-0.000008,"80,561",4,"80,561"
Blockchain Cuties Universe Governance USD,0.058455,0.008086,"80,544","9,219","80,544"
uPlexa USD,0.000031,0,"80,412",4,"80,412"
Decentrahub Coin USD,0.045264,-0.000299,"80,164",2,"80,164"
Smartshare USD,0.000008,0,"80,000",213,"80,000"
InsaneCoin USD,0.003058,-0.00002,"79,598",5,"79,598"
Aditus USD,0.000339,-0.000039,"79,371","69,867","79,371"
Chain of Legends USD,0.003214,-0.00008,"79,155","3,699","79,155"
Formation Fi USD,0.00099,-0.000141,"78,993","28,573","78,993"
Jetcoin USD,0.001081,-0.000004,"78,692","58,459","78,692"
BeatzCoin USD,0.000031,0,"78,558",217,"78,558"
HashCoin USD,0.00000606,0.00000019,"77,950","7,085","77,950"
Indorse Token USD,0.00206,-0.000006,"77,226",71,"77,226"
Evil Coin USD,0.00367,-0.000024,"77,145",3,"77,145"
Nitro Network USD,0.000011,0.000001,"77,118","30,668","77,118"
EveryCoin  USD,0.0000082,-0.00000301,"76,908","3,279","76,908"
HeroesTD USD,0.001396,0.000007,"76,632",33,"76,632"
Coldstack USD,0.050717,-0.000544,"76,327","95,778","76,327"
CREDIT USD,0.000031,0,"75,937",61,"75,937"
Primas USD,0.001439,0.000043,"75,847","10,409","75,847"
Celeum USD,0.014691,-0.000054,"75,328",7,"75,328"
Kurrent USD,0.001223,-0.000008,"75,070",3,"75,070"
Trinity Network Credit USD,0.000225,0.000001,"75,025","13,694","75,025"
Genesis Worlds USD,0.000572,-0.000015,"74,684",37,"74,684"
Add.xyz USD,0.00899,0,"74,584",14,"74,584"
GeoDB USD,0.000897,0.000108,"74,144","2,655","74,144"
BOMB USD,0.082939,-0.010618,"73,632","168,839","73,632"
Lunyr USD,0.027219,-0.00018,"73,583",6,"73,583"
Novacoin USD,0.031195,-0.000514,"72,864",11,"72,864"
Auctus USD,0.00127,0.000002,"72,840",106,"72,840"
YetiCoin USD,0,0,"72,466",41,"72,466"
KingdomStarter USD,0.000729,-0.000029,"72,044","10,555","72,044"
Hertz Network USD,0.000013,0,"70,645",19,"70,645"
VikkyToken USD,0.000019,0,"70,200",2,"70,200"
OpenSwap USD,0.0033,0,"69,683",4,"69,683"
ION USD,0.003785,0.000385,"69,135",2,"69,135"
FantomStarter USD,0.000663,0.000066,"68,620","1,784","68,620"
Bitcoin Incognito USD,0.005257,0.004795,"68,505",0,"68,505"
KnoxFS USD,0.095237,-0.000629,"68,316",0,"68,316"
CoverCompared USD,0.000569,-0.000007,"68,191","9,352","68,191"
Remme USD,0.000067,-0.000002,"67,211","8,654","67,211"
Lition USD,0.001884,-0.000007,"66,944",68,"66,944"
Yield Protocol USD,0.001958,-0.000025,"66,580","16,197","66,580"
ByteNext USD,0.00385,-0.000008,"66,415",20,"66,415"
VisionGame USD,0.001241,-0.000075,"66,275","201,535","66,275"
ORAO Network USD,0.00168,-0.000379,"66,175","28,684","66,175"
Mytheria USD,0.003479,-0.000038,"65,756","33,561","65,756"
Polis USD,0.006678,0.001139,"65,656",0,"65,656"
Shadows USD,0.002459,-0.000028,"65,158","9,178","65,158"
CropperFinance USD,0.002311,-0.000016,"65,008","10,903","65,008"
FUTURAX USD,0.000019,0,"64,160",18,"64,160"
Zeusshield USD,0.000055,-0.000002,"64,139","7,072","64,139"
SharedStake USD,0.425459,0.012528,"63,825","10,841","63,825"
ALL BEST ICO USD,0.000132,-0.000709,"63,415","57,732","63,415"
SkinCoin USD,0.000713,-0.000004,"62,877","2,521","62,877"
Apron Network USD,0.000663,-0.000004,"62,016","44,190","62,016"
Axis DeFi USD,0.029604,-0.000144,"61,707","11,807","61,707"
UpToken USD,0.000334,0,"61,248",170,"61,248"
